CustomerId,CustomerName,Location,,QtyQ1,QtyQ2,QtyQ3,QtyQ4,VariableOrders,NotesQ1,NotesQ2,NotesQ3,NotesQ4,CustomBP,DmQty,DmQtyQ1,DmQtyQ2,DmQtyQ3,DmQtyQ4,UpsQty,UpsQtyQ1,UpsQtyQ2,UpsQtyQ3,UpsQtyQ4,PostalQty,PostalQtyQ1,PostalQtyQ2,PostalQtyQ3,PostalQtyQ4,LtlQty,LtlQtyQ1,LtlQtyQ2,LtlQtyQ3,LtlQtyQ4,IntlQty,IntlQtyQ1,IntlQtyQ2,IntlQtyQ3,IntlQtyQ4,YearlyBillingQuarter
2234,ALLEGHENY VALLEY MENNONITE CHURCH,"MANN'S CHOICE, PA",DM + USPS,832,832,832,832,FALSE,Set 10 aside for customer,Set 10 aside for customer,Set 10 aside for customer,Set 10 aside for customer,TRUE,822,,,,,,,,,,10,,,,,,,,,,,,,,,
2600,ALTURAS MENNONITE CHURCH,"ALTURAS, CA",UPS,1200,1200,1200,1200,FALSE,,,,,TRUE,,,,,,1200,,,,,,,,,,,,,,,,,,,,
2788,ANCHOR OF HOPE ANABAPTIST FELLOWSHIP* Q2,"STRATFORD, ON",INTL,11,11,11,11,FALSE,Low Bulk,Low Bulk,Low Bulk,Low Bulk,TRUE,,,,,,,,,,,,,,,,,,,,,11,,,,,
2531,AUGUSTA MENNONITE CHURCH,"AUGUSTA, WI",,3625,3250,3625,3250,TRUE,,,,,TRUE,,,,,,,3625,3250,3625,3250,,,,,,,,,,,,,,,,
2229,BANK MENNONITE CHURCH,"DAYTON, VA",UPS,2250,2250,2250,2250,FALSE,,,,,TRUE,,,,,,2250,,,,,,,,,,,,,,,,,,,,
2485,BEREA MENNONITE FELLOWSHIP CHURCH,"RUTHERFORD, TN",UPS,4800,4800,4800,4800,FALSE,,,,,TRUE,,,,,,4800,,,,,,,,,,,,,,,,,,,,
2782,BETHANY MENNONITE CHAPEL,"MARTINDALE, PA",USPS,35,35,35,35,FALSE,Low Bulk,Low Bulk,Low Bulk,Low Bulk,FALSE,,,,,,,,,,,35,,,,,,,,,,,,,,,
2007,BETHANY MENNONITE CHURCH,"BRIARY BRANCH, VA",UPS,1250,600,1250,600,TRUE,VARIABLE QTY: Q1: 1250; Q2: 600; Q3: 1250; Q4: 600,VARIABLE QTY: Q1: 1250; Q2: 600; Q3: 1250; Q4: 601,VARIABLE QTY: Q1: 1250; Q2: 600; Q3: 1250; Q4: 602,VARIABLE QTY: Q1: 1250; Q2: 600; Q3: 1250; Q4: 603,TRUE,,,,,,,1250,600,1250,600,,,,,,,,,,,,,,,,
2140,BETHEL CONSERVATIVE MENNONITE CHURCH* Q1,"MILLBANK, ON",INTL,25,25,25,25,FALSE,Low bulk,Low bulk,Low bulk,Low bulk,FALSE,,,,,,,,,,,,,,,,,,,,,25,,,,,
2483,BETHEL MENNONITE CHURCH,"RICHMOND, MO",LTL,6500,6500,6500,6500,FALSE,,,,,TRUE,,,,,,,,,,,,,,,,6500,,,,,,,,,,
2772,BETHEL MENNONITE CHURCH - GA* Q2,"WAYNESBORO, GA",USPS,20,20,20,20,FALSE,Low Bulk,Low Bulk,Low Bulk,Low Bulk,FALSE,,,,,,,,,,,20,,,,,,,,,,,,,,,
2011,BETHESDA FELLOWSHIP* Q2,"PLAIN CITY, OH",USPS,12,12,12,12,FALSE,Low Bulk,,,,TRUE,,,,,,,,,,,12,,,,,,,,,,,,,,,
2546,BETHESDA MENNONITE CHURCH,"COALDALE, AB",INTL,3000,3000,3000,3000,FALSE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,3000,,,,,
2447,BITTERROOT VALLEY MENNONITE CHURCH* Q1,"CORVALLIS, MT",USPS,11,11,11,11,FALSE,Low Bulk,Low Bulk,Low Bulk,Low Bulk,FALSE,,,,,,,,,,,11,,,,,,,,,,,,,,,
2299,BLACK HILLS MENNONITE CHURCH,"BELLE FOURCHE, SD",DM + USPS,1039,1039,1039,1039,FALSE,Set 25 aside for customer,Set 25 aside for customer,Set 25 aside for customer,Set 25 aside for customer,TRUE,1014,,,,,,,,,,25,,,,,,,,,,,,,,,
2262,BLACK RIVER MENNONITE CHURCH,"LOMAN, MN",UPS,315,315,315,315,FALSE,,,,,TRUE,,,,,,315,,,,,,,,,,,,,,,,,,,,
2544,BLUE ROCK MENNONITE CHURCH,"LANCASTER, PA",DM,1198,1198,1198,1198,FALSE,,,,,TRUE,1198,,,,,,,,,,,,,,,,,,,,,,,,,
2670,BLUE ROCK MENNONITE CHURCH,"LANCASTER, PA",UPS,5525,5525,5525,5525,FALSE,,,,,TRUE,,,,,,5525,,,,,,,,,,,,,,,,,,,,
2607,BOKOSHE MENNONITE CHURCH,"KEOTA, OK",USPS,15,15,15,15,FALSE,Low Bulk,Low Bulk,Low Bulk,Low Bulk,FALSE,,,,,,,,,,,15,,,,,,,,,,,,,,,
2012,BOYER HILL MENNONITE CHURCH,"DURBIN, WV",DM,920,920,920,920,FALSE,,,,,TRUE,920,,,,,,,,,,,,,,,,,,,,,,,,,
2746,BRIDGEWATER MENNONITE CHURCH,"WAYNESBORO, VA",UPS,240,240,240,240,FALSE,,,,,TRUE,,,,,,240,,,,,,,,,,,,,,,,,,,,
